status,sense,emotion
satisfied,affectionate,compassionate
satisfied,affectionate,friendly
satisfied,affectionate,loving
satisfied,affectionate,open hearted
satisfied,affectionate,sympathetic
satisfied,affectionate,tender
satisfied,affectionate,warm
satisfied,engaged,absorbed
satisfied,engaged,alert
satisfied,engaged,curious
satisfied,engaged,engrossed
satisfied,engaged,enchanted
satisfied,engaged,entranced
satisfied,engaged,fascinated
satisfied,engaged,interested
satisfied,engaged,intrigued
satisfied,engaged,involved
satisfied,engaged,spellbound
satisfied,engaged,stimulated
satisfied,hopeful,expectant
satisfied,hopeful,encouraged
satisfied,hopeful,optimistic
satisfied,confident,empowered
satisfied,confident,open
satisfied,confident,proud
satisfied,confident,safe
satisfied,confident,secure
satisfied,excited,amazed
satisfied,excited,animated
satisfied,excited,ardent
satisfied,excited,aroused
satisfied,excited,astonished
satisfied,excited,dazzled
satisfied,excited,eager
satisfied,excited,energetic
satisfied,excited,enthusiastic
satisfied,excited,giddy
satisfied,excited,invigorated
satisfied,excited,lively
satisfied,excited,passionate
satisfied,excited,surprised
satisfied,excited,vibrant
satisfied,grateful,appreciative
satisfied,grateful,moved
satisfied,grateful,thankful
satisfied,grateful,touched
satisfied,inspired,amazed
satisfied,inspired,awed
satisfied,inspired,wonder
satisfied,joyful,amused
satisfied,joyful,delighted
satisfied,joyful,glad
satisfied,joyful,happy
satisfied,joyful,jubilant
satisfied,joyful,pleased
satisfied,joyful,tickled
satisfied,exhilarated,blissful
satisfied,exhilarated,ecstatic
satisfied,exhilarated,elated
satisfied,exhilarated,enthralled
satisfied,exhilarated,exuberant
satisfied,exhilarated,radiant
satisfied,exhilarated,rapturous
satisfied,exhilarated,thrilled
satisfied,peaceful,calm
satisfied,peaceful,clear headed
satisfied,peaceful,comfortable
satisfied,peaceful,centered
satisfied,peaceful,content
satisfied,peaceful,equanimous
satisfied,peaceful,fulfilled
satisfied,peaceful,mellow
satisfied,peaceful,quiet
satisfied,peaceful,relaxed
satisfied,peaceful,relieved
satisfied,peaceful,satisfied
satisfied,peaceful,serene
satisfied,peaceful,still
